"cr2sub_id","dga_well_code","dga_well_name","dga_well_basin","dga_well_subbasin","dga_well_lat","dga_well_lon","dga_well_utm_north","dga_well_utm_east","dga_well_elev","cr2sub_lat","cr2sub_lon","cr2sub_utm_north_h19","cr2sub_utm_east_h19","cr2sub_elev","cr2sub_slp","cr2sub_mean_gwl","cr2sub_sd_gwl","cr2sub_cv_gwl","cr2sub_clean_mean_gwl","cr2sub_clean_sd_gwl","cr2sub_clean_cv_gwl","cr2sub_in_basin_camels","cr2sub_camels_pr_yr","cr2sub_camels_pet_yr","cr2sub_camels_aridity","cr2sub_camels_sf","cr2sub_camels_elev","cr2sub_camels_slp","cr2sub_in_basin_bna","cr2sub_bna_pr_yr","cr2sub_bna_pet_yr","cr2sub_bna_aridity","cr2sub_bna_sf","cr2sub_bna_elev","cr2sub_bna_slp","cr2sub_clsoilmap_awc_0_100cm","cr2sub_clsoilmap_awc_100_200cm","cr2sub_clsoilmap_bulkd_0_100cm","cr2sub_clsoilmap_bulkd_100_200cm","cr2sub_clsoilmap_clay_0_100cm","cr2sub_clsoilmap_clay_100_200cm","cr2sub_clsoilmap_ksat_0_100cm","cr2sub_clsoilmap_ksat_100_200cm","cr2sub_clsoilmap_sand_0_100cm","cr2sub_clsoilmap_sand_100_200cm"
3421005,"03421005-5","HACIENDA MANFLAS ANTES DE HACIENDA","RIO COPIAPO","Rio Manflas",-28.095278,-69.98,6891869,403734,1299,-28.095278,-69.98,6891869,403734,1297.05,1.35,-22.12,10.08,-0.46,-21.31,9.05,-0.42,"3430003",162.81,1929.43,11.85,0.61,3651.29,21.01,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,136.122,144.162,1.568,1.536,22.114,19.335,7.489,9.989,38.453,37.2
3453007,"03453007-6","HACIENDA MARIA ISABEL (1)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.338333,-70.793056,6974817,322614,120,-27.338333,-70.793056,6974817,322614,96.76,0.93,-2.28,0.56,-0.25,-2.28,0.55,-0.24,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,99.637,98.2,1.557,1.675,14.032,19.797,45.759,23.923,74.56,76.709
3453006,"03453006-8","HACIENDA MARIA ISABEL (3)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.343056,-70.773611,6974306,324560,106,-27.343056,-70.773611,6974306,324560,104.32,0.31,-3.06,0.6,-0.19,-3.08,0.57,-0.18,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,107.394,103.114,1.558,1.629,15.257,17.015,34.734,25.303,70.501,72.483
3453005,"03453005-K","HACIENDA MARIA ISABEL (4)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.344444,-70.751944,6974181,326692,120,-27.344444,-70.751944,6974181,326692,118.22,0.85,-5.98,0.4,-0.07,-5.99,0.29,-0.05,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,114.878,115.079,1.56,1.612,13.955,26.894,25.727,14.13,63.394,64.891
3451015,"03451015-6","HACIENDA PERALES (10)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.348056,-70.587778,6973971,342937,199,-27.348056,-70.587778,6973971,342937,200.6,0.28,-1.47,0.5,-0.34,-1.46,0.5,-0.34,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,142.486,132.851,1.511,1.57,25.233,26.182,8.646,6.373,37.702,38.445
3451004,"03451004-0","HACIENDA SAN FRANCISCO","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.293056,-70.464722,6980249,355037,274,-27.293056,-70.464722,6980249,355037,273.92,0.4,-11.84,12.78,-1.08,-10.86,11.54,-1.06,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,163.658,172.791,1.402,1.327,25.487,26.706,14.226,19.192,33.244,34.162
3451005,"03451005-9","HACIENDA TOLEDO","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.301667,-70.445,6979332,357001,287,-27.301667,-70.445,6979332,357001,284.83,0.52,-8.63,3.66,-0.42,-8.58,3.6,-0.42,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,180.248,175.626,1.305,1.288,25.27,29.774,20.93,21.11,32.273,34.053
3451016,"03451016-4","HDA MARGARITA (MATAMOROS)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.347778,-70.606944,6974009,341043,192,-27.347778,-70.606944,6974009,341043,191.24,0.44,-3.19,1.39,-0.44,-3.16,1.41,-0.45,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,139.956,128.453,1.502,1.567,28.443,31.661,8.884,6.21,39.56,40.129
3431011,"03431011-4","HORNITOS (ROJAS)","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",-27.754722,-70.178611,6929421,383843,795,-27.754722,-70.178611,6929421,383843,791.7,0.93,-57.78,12.7,-0.22,-57.74,11.77,-0.2,"3434001",143.84,2135.2,14.84,0.54,3171.9,20.19,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,144.31,141.014,1.446,1.523,33.144,26.007,12.121,7.874,40.048,36.858
3414003,"03414003-0","HOSTERIA CABO DE HORNOS","RIO COPIAPO","Rio Pulido",-28.051944,-69.880556,6896686,413457,1240,-28.051944,-69.880556,6896686,413457,2838.01,26.34,-38.79,11.05,-0.28,NA,NA,NA,"3404001",144.18,1921.33,13.33,0.61,3796.11,19.47,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,146.027,112.097,1.319,1.599,17.538,12.834,66.141,22.861,62.704,63.22
3414005,"03414005-7","IGLESIA COLORADA","RIO COPIAPO","Rio Pulido",-28.165278,-69.868611,6884198,414735,1557,-28.165278,-69.868611,6884198,414735,1573,6.22,-19.72,8.59,-0.44,-18.8,7.17,-0.38,"3414001",179.91,1859.59,10.34,0.64,3565.91,23.73,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,126.295,137.461,1.589,1.497,19.542,20.2,10.209,15.357,48.189,48.151
3430012,"03430012-7","JUNTA MANFLAS","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",-28.039444,-69.980833,6898034,403603,1200,-28.039444,-69.980833,6898034,403603,1201.66,2.86,-26.81,14.01,-0.52,-26.65,13.99,-0.52,"3430003",162.81,1929.43,11.85,0.61,3651.29,21.01,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,130.776,146.511,1.605,1.519,26.673,23.405,6.133,10.03,34.375,34.782
