well_id,gw_memory,max_r2_selected_configs
4321006,76.47294589178357,0.7392234965811498
4331013,45.85170340681363,0.5202723897572208
4331014,71.34268537074148,0.4736364454401879
4334002,50.02004008016032,0.5329956231866062
4335006,50.66132264529058,0.6389736678782687
4400010,51.78356713426854,0.5877261387703339
4400012,64.60921843687375,0.6225753725432471
4400016,72.94589178356713,0.5266943627678338
4400019,76.47294589178357,0.667302257630095
4400023,46.65330661322645,0.9121481896859264
4400040,50.82164328657314,0.5950498243189468
4522004,38.31663326653307,0.5139613746471541
4522005,48.57715430861723,0.5892077658158227
4522006,28.537074148296593,0.4950702998430825
4524003,50.02004008016032,0.4105428476407842
4533006,16.03206412825651,0.48493102840758
4537004,32.86573146292585,0.5188129488236762
4537006,62.84569138276553,0.4213682320900159
4537010,24.04809619238477,0.5569862365132282
4537011,27.414829659318634,0.4538957092536111
4540011,59.95991983967936,0.6300098208197775
4550006,35.11022044088176,0.5005621511531186
4551006,67.49498997995991,0.4380495516487619
4553007,30.781563126252504,0.4691374027519463
4555004,70.38076152304609,0.4036570970165588
4555006,42.00400801603206,0.7971512658429482
4723003,46.012024048096194,0.5319523001290091
4725002,54.989979959919836,0.7321445736834865
4800001,34.4689378757515,0.5770027673045194
5100009,44.40881763527054,0.6303706491181981
5101007,33.02605210420842,0.4590364703635859
5110005,47.454909819639276,0.7682921197715311
5120008,47.454909819639276,0.6535623866208794
5120010,37.99599198396793,0.609590275535614
5120012,21.32264529058116,0.6662784610440443
5120013,46.172344689378754,0.7708381401454781
5120014,44.72945891783567,0.7751032912870731
5210006,16.993987975951903,0.695657524677635
5221007,30.140280561122243,0.4504085191138931
5410011,27.895791583166332,0.4687521690006081
5410014,30.62124248496994,0.5553923335233173
5410015,41.523046092184366,0.6154998799697153
5410016,26.773547094188377,0.8616262796678367
5410017,35.91182364729459,0.8011512638764151
5410018,32.705410821643284,0.6082754253710487
5410019,28.537074148296593,0.757409898764157
5410020,47.61523046092184,0.7411365694725732
5410021,30.781563126252504,0.7233494953709332
5414007,23.887775551102205,0.7429513485108831
5414008,22.765531062124246,0.5332630203775918
5415008,49.53907815631263,0.680965395674152
5424008,31.102204408817634,0.4603563926577669
5426018,44.569138276553105,0.508443803085545
5426021,42.48496993987976,0.4312849795541821
5428004,71.82364729458918,0.5402854780016917
5428008,31.262525050100198,0.5371567906717131
5428010,42.16432865731463,0.4459991772076246
